Sample	Total_Reads	Mapped_Reads	Mapped_Percent	Properly_Paired_Percent
SRR11006665	174152184	155374989	97.37	69.66
SRR11006666	158846211	141234554	97.19	68.07
SRR11006667	133428169	119218714	97.47	70.87
SRR11006668	160471753	142725027	97.21	68.82
SRR11006669	140055416	124819892	97.25	68.62
SRR11006670	139864627	124816351	97.53	71.19
SRR11006672	142667479	126929295	97.35	69.22
SRR11006673	205256022	182974854	97.31	69.21
SRR11006674	132984878	118510327	97.30	68.84
SRR11006675	127183354	113738773	97.45	70.80
SRR11006676	126697649	113224299	97.50	70.62
SRR11006677	185774624	165933810	97.42	69.89
SRR11006678	145920136	130556238	97.39	70.32
SRR11006679	205173139	182724995	97.30	69.69
SRR11006680	175637981	156696820	97.47	70.89
SRR11006681	138029887	123287075	97.58	72.03
SRR11006683	129320034	116534875	97.65	72.37
SRR11006684	118920497	107057701	97.26	72.79
SRR11006685	145744102	129564535	97.27	68.35
